relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201005955,201005956,801000001,50,g,
R_000002,201005955,201005957,801000001,1-2,份,
R_000003,201005955,201005958,801000001,1-2,片,
R_000004,201005955,201005959,801000001,1-2,片,
R_000005,201005955,201005960,801000003,,,1.0
R_000006,201005955,201005961,801000003,,,2.0
R_000007,201005955,201005962,801000003,,,3.0
R_000008,201005955,201005963,801000003,,,4.0
R_000009,201005955,201005964,801000003,,,5.0
R_000010,201005955,201005965,801000003,,,6.0
R_000011,201005955,201005966,801000003,,,7.0
R_000012,201005955,201005967,801000003,,,8.0
R_000013,201005955,740000000,801000004,,,
R_000014,201005955,630000000,801000005,,,
R_000015,201005968,201005969,801000001,1,个,
R_000016,201005968,201005970,801000001,适量,,
R_000017,201005968,201005971,801000001,适量,,
R_000018,201005968,201005972,801000003,,,1.0
R_000019,201005968,201005973,801000003,,,2.0
R_000020,201005968,201005974,801000003,,,3.0
R_000021,201005968,201005975,801000003,,,4.0
R_000022,201005968,201005976,801000003,,,5.0
R_000023,201005968,201005977,801000003,,,6.0
R_000024,201005968,201005978,801000003,,,7.0
R_000025,201005968,740000000,801000004,,,
R_000026,201005968,630000000,801000005,,,
