relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201005834,201005835,801000001,2,片,
R_000002,201005834,201005836,801000001,足够涂满一面吐司的量,,
R_000003,201005834,201005837,801000003,,,1.0
R_000004,201005834,201005838,801000003,,,2.0
R_000005,201005834,201005839,801000003,,,3.0
R_000006,201005834,201005840,801000003,,,4.0
R_000007,201005834,201005841,801000003,,,5.0
R_000008,201005834,740000000,801000004,,,
R_000009,201005834,610000000,801000005,,,
R_000010,201005842,201005843,801000001,半个鸡蛋大小,,
R_000011,201005842,201005844,801000001,15,g,
R_000012,201005842,201005845,801000001,2.5,g,
R_000013,201005842,201005846,801000001,1,个,
R_000014,201005842,201005847,801000001,10,g,
R_000015,201005842,201005848,801000001,1,g,
R_000016,201005842,201005849,801000001,适量,,
R_000017,201005842,201005850,801000001,适量,,
R_000018,201005842,201005851,801000001,适量,,
R_000019,201005842,201005852,801000001,适量,,
R_000020,201005842,201005853,801000001,适量,ml,
R_000021,201005842,201005854,801000001,适量,g,
R_000022,201005842,201005855,801000001,适量,g,
R_000023,201005842,201005856,801000003,,,1.0
R_000024,201005842,201005857,801000003,,,2.0
R_000025,201005842,201005858,801000003,,,3.0
R_000026,201005842,201005859,801000003,,,4.0
R_000027,201005842,201005860,801000003,,,5.0
R_000028,201005842,201005861,801000003,,,6.0
R_000029,201005842,201005862,801000003,,,7.0
R_000030,201005842,201005863,801000003,,,8.0
R_000031,201005842,201005864,801000003,,,9.0
R_000032,201005842,201005865,801000003,,,10.0
R_000033,201005842,201005866,801000003,,,11.0
R_000034,201005842,201005867,801000003,,,12.0
R_000035,201005842,201005868,801000003,,,13.0
R_000036,201005842,740000000,801000004,,,
R_000037,201005842,610000000,801000005,,,
R_000038,201005869,201005870,801000001,15,个,
R_000039,201005869,201005871,801000001,15,ml,
R_000040,201005869,201005872,801000001,适量,,
R_000041,201005869,201005873,801000001,适量,,
R_000042,201005869,201005874,801000001,适量,,
R_000043,201005869,201005875,801000003,,,1.0
