relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201005715,201005716,801000001,400,g,
R_000002,201005715,201005717,801000001,4,g,
R_000003,201005715,201005718,801000001,1,g,
R_000004,201005715,201005719,801000001,3,g,
R_000005,201005715,201005720,801000001,5,g,
R_000006,201005715,201005721,801000001,15,g,
R_000007,201005715,201005722,801000001,20,g,
R_000008,201005715,201005723,801000001,15,g,
R_000009,201005715,201005724,801000001,25,g,
R_000010,201005715,201005725,801000001,3,g,
R_000011,201005715,201005726,801000003,,,1.0
R_000012,201005715,201005727,801000003,,,2.0
R_000013,201005715,201005728,801000003,,,3.0
R_000014,201005715,201005729,801000003,,,4.0
R_000015,201005715,201005730,801000003,,,5.0
R_000016,201005715,201005731,801000003,,,6.0
R_000017,201005715,740000000,801000004,,,
R_000018,201005715,630000000,801000005,,,
R_000019,201005732,201005733,801000001,100,g,
R_000020,201005732,201005734,801000001,15,颗,
R_000021,201005732,201005735,801000001,15,颗,
R_000022,201005732,201005736,801000003,,,1.0
R_000023,201005732,201005737,801000003,,,2.0
R_000024,201005732,201005738,801000003,,,3.0
R_000025,201005732,201005739,801000003,,,4.0
R_000026,201005732,201005740,801000003,,,5.0
R_000027,201005732,740000000,801000004,,,
R_000028,201005732,710000000,801000004,,,
R_000029,201005732,750000000,801000004,,,
R_000030,201005732,620000000,801000005,,,
R_000031,201005741,201005742,801000001,2,个,
R_000032,201005741,201005743,801000001,35,ml,
R_000033,201005741,201005744,801000001,3,ml,
R_000034,201005741,201005745,801000001,0.8,g,
R_000035,201005741,201005746,801000003,,,1.0
R_000036,201005741,201005747,801000003,,,2.0
R_000037,201005741,201005748,801000003,,,3.0
R_000038,201005741,201005749,801000003,,,4.0
R_000039,201005741,201005750,801000003,,,5.0
R_000040,201005741,201005751,801000003,,,6.0
R_000041,201005741,740000000,801000004,,,
R_000042,201005741,610000000,801000005,,,
R_000043,201005752,201005753,801000001,1,个,
R_000044,201005752,201005754,801000001,淹过玉米约半节指头,,
R_000045,201005752,201005755,801000001,2,克,
R_000046,201005752,201005756,801000001,可选,,
R_000047,201005752,201005757,801000003,,,1.0
R_000048,201005752,201005758,801000003,,,2.0
R_000049,201005752,201005759,801000003,,,3.0
R_000050,201005752,201005760,801000003,,,4.0
R_000051,201005752,740000000,801000004,,,
R_000052,201005752,620000000,801000005,,,
R_000053,201005761,201005762,801000001,200,克,
R_000054,201005761,201005763,801000001,100,毫升,
R_000055,201005761,201005764,801000001,50,毫升,
R_000056,201005761,201005765,801000001,15,毫升,
R_000057,201005761,201005766,801000001,3,克,
R_000058,201005761,201005767,801000001,1,个,
R_000059,201005761,201005768,801000001,30,克,
R_000060,201005761,201005769,801000001,30,克,
R_000061,201005761,201005770,801000001,1,片,
R_000062,201005761,201005771,801000003,,,1.0
R_000063,201005761,201005772,801000003,,,2.0
R_000064,201005761,201005773,801000003,,,3.0
R_000065,201005761,201005774,801000003,,,4.0
R_000066,201005761,201005775,801000003,,,5.0
R_000067,201005761,201005776,801000003,,,6.0
R_000068,201005761,740000000,801000004,,,
R_000069,201005761,620000000,801000005,,,
R_000070,201005777,201005778,801000001,2,个,
R_000071,201005777,201005779,801000001,100-120,ml,
R_000072,201005777,201005780,801000001,1,g,
R_000073,201005777,201005781,801000001,2,ml,
R_000074,201005777,201005782,801000001,几滴,,
R_000075,201005777,201005783,801000003,,,1.0
R_000076,201005777,201005784,801000003,,,2.0
R_000077,201005777,201005785,801000003,,,3.0
R_000078,201005777,201005786,801000003,,,4.0
R_000079,201005777,201005787,801000003,,,5.0
R_000080,201005777,201005788,801000003,,,6.0
R_000081,201005777,740000000,801000004,,,
R_000082,201005777,610000000,801000005,,,
R_000083,201005789,201005790,801000001,1,颗,
R_000084,201005789,201005791,801000001,淹过鸡蛋约2公分,,
R_000085,201005789,201005792,801000003,,,1.0
R_000086,201005789,201005793,801000003,,,2.0
R_000087,201005789,201005794,801000003,,,3.0
R_000088,201005789,201005795,801000003,,,4.0
R_000089,201005789,201005796,801000003,,,5.0
R_000090,201005789,740000000,801000004,,,
R_000091,201005789,630000000,801000005,,,
R_000092,201005797,201005798,801000001,1,个,
R_000093,201005797,201005799,801000001,1500,ml,
R_000094,201005797,201005800,801000001,1500,ml,
R_000095,201005797,201005801,801000003,,,1.0
R_000096,201005797,201005802,801000003,,,2.0
R_000097,201005797,201005803,801000003,,,3.0
R_000098,201005797,201005804,801000003,,,4.0
R_000099,201005797,201005805,801000003,,,5.0
R_000100,201005797,201005806,801000003,,,6.0
R_000101,201005797,201005807,801000003,,,7.0
R_000102,201005797,740000000,801000004,,,
R_000103,201005797,650000000,801000005,,,
R_000104,201005808,201005809,801000001,2,个,
R_000105,201005808,201005810,801000001,50,克,
R_000106,201005808,201005811,801000001,250,毫升,
R_000107,201005808,201005812,801000001,50,克,
R_000108,201005808,201005813,801000001,适量,克,
R_000109,201005808,201005814,801000001,适量,克,
R_000110,201005808,201005815,801000001,适量,克,
R_000111,201005808,201005816,801000003,,,1.0
R_000112,201005808,201005817,801000003,,,2.0
R_000113,201005808,201005818,801000003,,,3.0
R_000114,201005808,201005819,801000003,,,4.0
R_000115,201005808,201005820,801000003,,,5.0
R_000116,201005808,201005821,801000003,,,6.0
R_000117,201005808,201005822,801000003,,,7.0
R_000118,201005808,201005823,801000003,,,8.0
R_000119,201005808,740000000,801000004,,,
R_000120,201005808,620000000,801000005,,,
R_000121,201005824,201005825,801000001,5,个,
R_000122,201005824,201005826,801000001,400,ml,
R_000123,201005824,201005827,801000003,,,1.0
R_000124,201005824,201005828,801000003,,,2.0
R_000125,201005824,201005829,801000003,,,3.0
R_000126,201005824,201005830,801000003,,,4.0
R_000127,201005824,201005831,801000003,,,5.0
R_000128,201005824,201005832,801000003,,,6.0
R_000129,201005824,201005833,801000003,,,7.0
R_000130,201005824,740000000,801000004,,,
R_000131,201005824,620000000,801000005,,,
