relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201005102,201005103,801000001,450,g,
R_000002,201005102,201005104,801000001,25,g,
R_000003,201005102,201005105,801000001,10,g,
R_000004,201005102,201005106,801000001,13,g,
R_000005,201005102,201005107,801000001,5,mL,
R_000006,201005102,201005108,801000001,25,mL,
R_000007,201005102,201005109,801000001,2,mL,
R_000008,201005102,201005110,801000001,50,mL,
R_000009,201005102,201005111,801000003,,,1.0
R_000010,201005102,201005112,801000003,,,2.0
R_000011,201005102,201005113,801000003,,,3.0
R_000012,201005102,201005114,801000003,,,4.0
R_000013,201005102,201005115,801000003,,,5.0
R_000014,201005102,201005116,801000003,,,6.0
R_000015,201005102,201005117,801000003,,,7.0
R_000016,201005102,201005118,801000003,,,8.0
R_000017,201005102,201005119,801000003,,,9.0
R_000018,201005102,730000000,801000004,,,
R_000019,201005102,630000000,801000005,,,
R_000020,201005120,201005121,801000001,2,斤,
R_000021,201005120,201005122,801000001,20,g,
R_000022,201005120,201005123,801000001,50,g,
R_000023,201005120,201005124,801000001,4,个,
R_000024,201005120,201005125,801000001,适量,,
R_000025,201005120,201005126,801000001,个人口味,,
R_000026,201005120,201005127,801000001,2,ml,
R_000027,201005120,201005128,801000001,10,g,
R_000028,201005120,201005129,801000001,适量,,
R_000029,201005120,201005130,801000001,100,ml,
R_000030,201005120,201005131,801000001,4,ml,
R_000031,201005120,201005132,801000001,50,g,
R_000032,201005120,201005133,801000001,4-6,个,
R_000033,201005120,201005134,801000001,100,ml,
R_000034,201005120,201005135,801000001,适量,,
R_000035,201005120,201005136,801000001,适量,,
R_000036,201005120,201005137,801000001,适量,,
R_000037,201005120,201005138,801000003,,,1.0
R_000038,201005120,201005139,801000003,,,2.0
R_000039,201005120,201005140,801000003,,,3.0
R_000040,201005120,201005141,801000003,,,4.0
R_000041,201005120,201005142,801000003,,,5.0
R_000042,201005120,201005143,801000003,,,6.0
R_000043,201005120,201005144,801000003,,,7.0
R_000044,201005120,201005145,801000003,,,8.0
R_000045,201005120,201005146,801000003,,,9.0
R_000046,201005120,201005147,801000003,,,10.0
R_000047,201005120,201005148,801000003,,,11.0
R_000048,201005120,730000000,801000004,,,
R_000049,201005120,640000000,801000005,,,
R_000050,201005149,201005150,801000001,550,克,
R_000051,201005149,201005151,801000001,400,克,
R_000052,201005149,201005152,801000001,5,片,
R_000053,201005149,201005153,801000001,50,克,
R_000054,201005149,201005154,801000001,4,个,
R_000055,201005149,201005155,801000001,2,ml,
R_000056,201005149,201005156,801000001,1,块,
R_000057,201005149,201005157,801000001,5,块,
R_000058,201005149,201005158,801000001,4-6,个,
R_000059,201005149,201005159,801000001,5,ml,
R_000060,201005149,201005160,801000001,4,ml,
R_000061,201005149,201005161,801000001,5-8,克,
R_000062,201005149,201005162,801000001,1,个,
R_000063,201005149,201005163,801000001,1-3,片,
R_000064,201005149,201005164,801000001,10,ml,
R_000065,201005149,201005165,801000001,400,克,
R_000066,201005149,201005166,801000003,,,1.0
R_000067,201005149,201005167,801000003,,,2.0
R_000068,201005149,201005168,801000003,,,3.0
R_000069,201005149,201005169,801000003,,,4.0
R_000070,201005149,201005170,801000003,,,5.0
R_000071,201005149,201005171,801000003,,,6.0
R_000072,201005149,201005172,801000003,,,7.0
R_000073,201005149,730000000,801000004,,,
R_000074,201005149,630000000,801000005,,,
R_000075,201005173,201005174,801000001,2,斤,
R_000076,201005173,201005175,801000001,70,毫升,
R_000077,201005173,201005176,801000001,2,片,
R_000078,201005173,201005177,801000001,1,个,
R_000079,201005173,201005178,801000001,3,克,
R_000080,201005173,201005179,801000001,10,克,
R_000081,201005173,201005180,801000001,10,克,
R_000082,201005173,201005181,801000001,5,克,
R_000083,201005173,201005182,801000001,1,根,
R_000084,201005173,201005183,801000001,30,克,
R_000085,201005173,201005184,801000001,7,瓣,
R_000086,201005173,201005185,801000001,30,克,
R_000087,201005173,201005186,801000001,30,克,
R_000088,201005173,201005187,801000001,500,毫升,
R_000089,201005173,201005188,801000001,30,毫升,
R_000090,201005173,201005189,801000001,10,克,
R_000091,201005173,201005190,801000003,,,1.0
R_000092,201005173,201005191,801000003,,,2.0
R_000093,201005173,201005192,801000003,,,3.0
R_000094,201005173,201005193,801000003,,,4.0
R_000095,201005173,201005194,801000003,,,5.0
R_000096,201005173,201005195,801000003,,,6.0
R_000097,201005173,201005196,801000003,,,7.0
R_000098,201005173,730000000,801000004,,,
R_000099,201005173,640000000,801000005,,,
R_000100,201005197,201005198,801000001,200,g,
R_000101,201005197,201005199,801000001,30,g,
R_000102,201005197,201005200,801000001,20,g,
R_000103,201005197,201005201,801000001,15,ml,
R_000104,201005197,201005202,801000001,0.25,个,
R_000105,201005197,201005203,801000001,10,ml,
R_000106,201005197,201005204,801000003,,,1.0
R_000107,201005197,201005205,801000003,,,2.0
R_000108,201005197,201005206,801000003,,,3.0
R_000109,201005197,201005207,801000003,,,4.0
R_000110,201005197,201005208,801000003,,,5.0
R_000111,201005197,201005209,801000003,,,6.0
R_000112,201005197,201005210,801000003,,,7.0
R_000113,201005197,201005211,801000003,,,8.0
R_000114,201005197,201005212,801000003,,,9.0
R_000115,201005197,730000000,801000004,,,
R_000116,201005197,620000000,801000005,,,
R_000117,201005213,201005214,801000001,250,g,
R_000118,201005213,201005215,801000001,1,根,
R_000119,201005213,201005216,801000001,1,块,
R_000120,201005213,201005217,801000001,1,头,
R_000121,201005213,201005218,801000001,5-8,瓣,
R_000122,201005213,201005219,801000001,10-15,ml,
R_000123,201005213,201005220,801000001,20,ml,
R_000124,201005213,201005221,801000001,10-15,ml,
R_000125,201005213,201005222,801000001,一把,,
R_000126,201005213,201005223,801000001,10,ml,
R_000127,201005213,201005224,801000001,10,ml,
R_000128,201005213,201005225,801000003,,,1.0
R_000129,201005213,201005226,801000003,,,2.0
R_000130,201005213,201005227,801000003,,,3.0
R_000131,201005213,201005228,801000003,,,4.0
R_000132,201005213,201005229,801000003,,,5.0
R_000133,201005213,201005230,801000003,,,6.0
R_000134,201005213,730000000,801000004,,,
R_000135,201005213,620000000,801000005,,,
R_000136,201005231,201005232,801000001,4,个,
R_000137,201005231,201005233,801000001,1,根,
R_000138,201005231,201005234,801000001,22.5,ml,
R_000139,201005231,201005235,801000001,20,g,
R_000140,201005231,201005236,801000001,5,g,
R_000141,201005231,201005237,801000001,2,g,
R_000142,201005231,201005238,801000001,2,g,
R_000143,201005231,201005239,801000003,,,1.0
R_000144,201005231,201005240,801000003,,,2.0
R_000145,201005231,201005241,801000003,,,3.0
R_000146,201005231,201005242,801000003,,,4.0
R_000147,201005231,201005243,801000003,,,5.0
R_000148,201005231,201005244,801000003,,,6.0
R_000149,201005231,201005245,801000003,,,7.0
R_000150,201005231,201005246,801000003,,,8.0
R_000151,201005231,201005247,801000003,,,9.0
R_000152,201005231,201005248,801000003,,,10.0
R_000153,201005231,201005249,801000003,,,11.0
R_000154,201005231,201005250,801000003,,,12.0
R_000155,201005231,730000000,801000004,,,
R_000156,201005231,630000000,801000005,,,
R_000157,201005251,201005252,801000001,200,g,
R_000158,201005251,201005253,801000001,2,个,
R_000159,201005251,201005254,801000001,100,ml,
R_000160,201005251,201005255,801000001,0.25,个,
R_000161,201005251,201005256,801000001,20,g,
R_000162,201005251,201005257,801000001,5,ml,
R_000163,201005251,201005258,801000001,5,ml,
R_000164,201005251,201005259,801000001,5,ml,
R_000165,201005251,201005260,801000003,,,1.0
R_000166,201005251,201005261,801000003,,,2.0
R_000167,201005251,201005262,801000003,,,3.0
R_000168,201005251,201005263,801000003,,,4.0
R_000169,201005251,730000000,801000004,,,
R_000170,201005251,630000000,801000005,,,
R_000171,201005264,201005265,801000001,10,只,
R_000172,201005264,201005266,801000001,5,g,
R_000173,201005264,201005267,801000001,50,g,
R_000174,201005264,201005268,801000001,20,g,
R_000175,201005264,201005269,801000001,30,g,
R_000176,201005264,201005270,801000001,3,g,
R_000177,201005264,201005271,801000001,10,g,
R_000178,201005264,201005272,801000001,适量,,
R_000179,201005264,201005273,801000003,,,1.0
R_000180,201005264,201005274,801000003,,,2.0
R_000181,201005264,201005275,801000003,,,3.0
R_000182,201005264,201005276,801000003,,,4.0
R_000183,201005264,201005277,801000003,,,5.0
R_000184,201005264,201005278,801000003,,,6.0
R_000185,201005264,201005279,801000003,,,7.0
R_000186,201005264,201005280,801000003,,,8.0
R_000187,201005264,730000000,801000004,,,
R_000188,201005264,640000000,801000005,,,
R_000189,201005281,201005282,801000001,500,g,
R_000190,201005281,201005283,801000001,1,根,
R_000191,201005281,201005284,801000001,2,个,
R_000192,201005281,201005285,801000001,50,g,
R_000193,201005281,201005286,801000001,25,g,
R_000194,201005281,201005287,801000001,15,g,
R_000195,201005281,201005288,801000001,8,g,
R_000196,201005281,201005289,801000001,10,g,
R_000197,201005281,201005290,801000001,5000,ml,
R_000198,201005281,201005291,801000003,,,1.0
R_000199,201005281,201005292,801000003,,,2.0
R_000200,201005281,201005293,801000003,,,3.0
R_000201,201005281,201005294,801000003,,,4.0
R_000202,201005281,201005295,801000003,,,5.0
R_000203,201005281,201005296,801000003,,,6.0
R_000204,201005281,201005297,801000003,,,7.0
R_000205,201005281,201005298,801000003,,,8.0
R_000206,201005281,201005299,801000003,,,9.0
R_000207,201005281,201005300,801000003,,,10.0
R_000208,201005281,201005301,801000003,,,11.0
R_000209,201005281,201005302,801000003,,,12.0
R_000210,201005281,201005303,801000003,,,13.0
R_000211,201005281,201005304,801000003,,,14.0
R_000212,201005281,201005305,801000003,,,15.0
R_000213,201005281,201005306,801000003,,,16.0
R_000214,201005281,201005307,801000003,,,17.0
R_000215,201005281,201005308,801000003,,,18.0
R_000216,201005281,201005309,801000003,,,19.0
R_000217,201005281,730000000,801000004,,,
R_000218,201005281,640000000,801000005,,,
