relationship_id,source_id,target_id,relationship_type,amount,unit,step_order
R_000001,201005432,201005433,801000001,120,克,
R_000002,201005432,201005434,801000001,1177,克,
R_000003,201005432,201005435,801000001,9,克,
R_000004,201005432,201005436,801000001,48,克,
R_000005,201005432,201005437,801000003,,,1.0
R_000006,201005432,201005438,801000003,,,2.0
R_000007,201005432,201005439,801000003,,,3.0
R_000008,201005432,201005440,801000003,,,4.0
R_000009,201005432,201005441,801000003,,,5.0
R_000010,201005432,780000000,801000004,,,
R_000011,201005432,610000000,801000005,,,
R_000012,201005442,201005443,801000001,1000,g,
R_000013,201005442,201005444,801000001,300,g,
R_000014,201005442,201005445,801000003,,,1.0
R_000015,201005442,201005446,801000003,,,2.0
R_000016,201005442,201005447,801000003,,,3.0
R_000017,201005442,201005448,801000003,,,4.0
R_000018,201005442,201005449,801000003,,,5.0
R_000019,201005442,201005450,801000003,,,6.0
R_000020,201005442,780000000,801000004,,,
R_000021,201005442,620000000,801000005,,,
R_000022,201005451,201005452,801000001,100,毫升,
R_000023,201005451,201005453,801000001,500,毫升,
R_000024,201005451,201005454,801000001,300,克,
R_000025,201005451,201005455,801000001,1,个,
R_000026,201005451,201005456,801000003,,,1.0
R_000027,201005451,201005457,801000003,,,2.0
R_000028,201005451,201005458,801000003,,,3.0
R_000029,201005451,201005459,801000003,,,4.0
R_000030,201005451,201005460,801000003,,,5.0
R_000031,201005451,201005461,801000003,,,6.0
R_000032,201005451,201005462,801000003,,,7.0
R_000033,201005451,201005463,801000003,,,8.0
R_000034,201005451,780000000,801000004,,,
R_000035,201005451,620000000,801000005,,,
R_000036,201005464,201005465,801000001,10,ml,
R_000037,201005464,201005466,801000001,10,ml,
R_000038,201005464,201005467,801000001,10,ml,
R_000039,201005464,201005468,801000003,,,1.0
R_000040,201005464,201005469,801000003,,,2.0
R_000041,201005464,201005470,801000003,,,3.0
R_000042,201005464,201005471,801000003,,,4.0
R_000043,201005464,201005472,801000003,,,5.0
R_000044,201005464,780000000,801000004,,,
R_000045,201005464,630000000,801000005,,,
R_000046,201005473,201005474,801000001,15,ml,
R_000047,201005473,201005475,801000001,15,ml,
R_000048,201005473,201005476,801000001,15,ml,
R_000049,201005473,201005477,801000001,15,ml,
R_000050,201005473,201005478,801000001,15,ml,
R_000051,201005473,201005479,801000001,30,ml,
R_000052,201005473,201005480,801000001,20,ml,
R_000053,201005473,201005481,801000001,75,ml,
R_000054,201005473,201005482,801000001,1,个,
R_000055,201005473,201005483,801000001,100,克,
R_000056,201005473,201005484,801000003,,,1.0
R_000057,201005473,201005485,801000003,,,2.0
R_000058,201005473,201005486,801000003,,,3.0
R_000059,201005473,201005487,801000003,,,4.0
R_000060,201005473,201005488,801000003,,,5.0
R_000061,201005473,201005489,801000003,,,6.0
R_000062,201005473,201005490,801000003,,,7.0
R_000063,201005473,780000000,801000004,,,
R_000064,201005473,620000000,801000005,,,
R_000065,201005491,201005492,801000001,1,块,
R_000066,201005491,201005493,801000001,5,珠,
R_000067,201005491,201005494,801000001,20,ml,
R_000068,201005491,201005495,801000001,45,ml,
R_000069,201005491,201005496,801000001,10,ml,
R_000070,201005491,201005497,801000001,适量,,
R_000071,201005491,201005498,801000001,适量,,
R_000072,201005491,201005499,801000003,,,1.0
R_000073,201005491,201005500,801000003,,,2.0
R_000074,201005491,201005501,801000003,,,3.0
R_000075,201005491,201005502,801000003,,,4.0
R_000076,201005491,201005503,801000003,,,5.0
R_000077,201005491,201005504,801000003,,,6.0
R_000078,201005491,201005505,801000003,,,7.0
R_000079,201005491,201005506,801000003,,,8.0
R_000080,201005491,201005507,801000003,,,9.0
R_000081,201005491,201005508,801000003,,,10.0
R_000082,201005491,201005509,801000003,,,11.0
R_000083,201005491,780000000,801000004,,,
R_000084,201005491,630000000,801000005,,,
R_000085,201005510,201005511,801000001,30,ml,
